route_id,route_name,direction,trip_id,stop_sequence,stop_id,stop_name,stop_lat,stop_lon,arrival_time,departure_time,headway_seconds
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,1,10_HLW_METRO_N,Helwan,29.848824,31.334252,6:00:00,6:00:15,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,2,10_AHL_METRO_N,Ain Helwan,29.862604,31.325026,6:02:15,6:02:40,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,3,10_UHL_METRO_N,Helwan University,29.8694521,31.3200045,6:04:40,6:05:05,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,4,14_HOF_METRO_N,Wadi Hof,29.879053,31.3134384,6:07:05,6:07:30,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,5,14_HHL_METRO_N,Hadayek Helwan,29.897192,31.30404,6:09:30,6:09:55,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,6,7_MAA_METRO_N,El-Maasara,29.9063622,31.2995338,6:14:20,6:14:45,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,7,27_TAS_METRO_N,Tora El-Asmant,29.9259651,31.2875497,6:16:45,6:17:10,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,8,26_KZK_METRO_N,Kozzika,29.9364531,31.2814236,6:19:10,6:19:35,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,9,28_TBA_METRO_N,Tora El-Balad,29.9467168,31.2728834,6:21:35,6:22:00,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,10,23_SMA_METRO_N,Sakanat El-Maadi,29.9533078,31.2629646,6:24:00,6:24:25,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,11,23_MAD_METRO_N,Maadi,29.960298,31.2577343,6:26:25,6:26:50,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,12,246_HMA_METRO_N,Hadayek El-Maadi,29.9697833,31.2508303,6:28:50,6:29:15,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,13,246_DAR_METRO_N,Dar El-Salam,29.9819859,31.2420434,6:31:15,6:31:40,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,14,31_ZAH_Metro_N,El-Zahraa',29.995539,31.2312341,6:33:40,6:34:05,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,15,34_MGR_METRO_N,Mar Girgis,30.0061683,31.2295818,6:36:05,6:36:30,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,16,32_MSH_Metro_N,El-Malek El-Saleh,30.0177162,31.2311751,6:38:30,6:38:55,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,17,47_ZEI_Metro_N,Al-Sayeda Zeinab,30.02924,31.235429,6:40:55,6:41:20,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,18,52_SZA_Metro_N,Saad Zaghloul,30.0356671,31.2378216,6:43:20,6:43:45,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,19,86_SAD_METRO_N,Sadat,30.043924,31.23566,6:45:45,6:46:10,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,20,87_NAS_METRO_N,Nasser,30.0534568,31.2386477,6:48:10,6:48:35,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,21,98_ORA_METRO_N,Orabi,30.0570274,31.2423062,6:50:35,6:51:00,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,22,100_SHO_METRO_N,Al-Shohadaa,30.0616395,31.246287,6:53:00,6:53:25,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,23,137_GHM_METRO_N,Ghamra,30.0689315,31.2646759,6:55:25,6:55:50,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,24,159_DMD_METRO_N,El-Demerdash,30.0771948,31.2778616,6:57:50,6:58:15,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,25,160_MSD_METRO_N,Manshiet El-Sadr,30.0819807,31.2875497,7:00:15,7:00:40,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,26,180_KQO_METRO_N,Kobri El-Qobba,30.087198,31.2941319,7:02:40,7:03:05,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,27,180_HQO_METRO_N,Hammamat El-Qobba,30.0911897,31.2990081,7:05:05,7:05:30,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,28,180_SQO_METRO_N,Saray El-Qobba,30.09772,31.3044691,7:07:30,7:07:55,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,29,178_DZT_METRO_N,Hadayeq El-Zaitoun,30.1059577,31.3103968,7:09:55,7:10:20,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,30,223_HZT_METRO_N,Helmeyet El-Zaitoun,30.1132481,31.3139963,7:12:20,7:12:45,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,31,223_MAT_METRO_N,El-Matareyya,30.1208952,31.3137335,7:14:45,7:15:10,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,32,226_AIN_METRO_N,Ain Shams,30.1310007,31.3191247,7:17:10,7:17:35,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,33,232_NKH_METRO_N,Ezbet El-Nakhl,30.1392217,31.3246232,7:19:35,7:20:00,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,34,251_MRG_METRO_N,El-Marg,30.1521131,31.3358134,7:22:00,7:22:25,132
L1,Metro Line 1 (Helwan - El Marg),Northbound,T_L1_N,35,251_NMR_METRO_N,New El-Marg,30.163551,31.338335,7:22:00,7:22:25,132
L1,Metro Line 1 (Helwan - El Marg),Southbound,T_L1_S,1,251_NMR_METRO_S,New El-Marg,30.163551,31.338335,6:00:00,6:00:15,132
L1,Metro Line 1 (Helwan - El Marg),Southbound,T_L1_S,2,251_MRG_METRO_S,El-Marg,30.1521131,31.3358134,6:02:15,6:02:40,132
L1,Metro Line 1 (Helwan - El Marg),Southbound,T_L1_S,3,232_NKH_METRO_S,Ezbet El-Nakhl,30.1392217,31.3246232,6:04:40,6:05:05,132
L1,Metro Line 1 (Helwan - El Marg),Southbound,T_L1_S,4,226_AIN_METRO_S,Ain Shams,30.1310007,31.3191247,6:07:05,6:07:30,132
L1,Metro Line 1 (Helwan - El Marg),Southbound,T_L1_S,5,223_MAT_METRO_S,El-Matareyya,30.1208952,31.3137335,6:09:30,6:09:55,132
L1,Metro Line 1 (Helwan - El Marg),Southbound,T_L1_S,6,223_HZT_METRO_S,Helmeyet El-Zaitoun,30.1132481,31.3139963,6:11:55,6:12:20,132
L1,Metro Line 1 (Helwan - El Marg),Southbound,T_L1_S,7,178_DZT_METRO_S,Hadayeq El-Zaitoun,30.1059577,31.3103968,6:14:20,6:14:45,132
L1,Metro Line 1 (Helwan - El Marg),Southbound,T_L1_S,8,180_SQO_METRO_S,Saray El-Qobba,30.09772,31.3044691,6:16:45,6:17:10,132
